crime_rate,residential_land,nitric_oxides,avg_room,weighted_distances,radial_highways,property_tax,pupil_teacher,corporate_proportion,lower_status,homes_under_1000
0.07244,60,0.411,5.884,10.7103,4,411,18.3,392.33,7.79,18.6
0.01709,90,0.41,6.728,12.1265,5,187,17,384.46,4.5,30.1
0.04301,80,0.413,5.663,10.5857,4,334,22,382.8,8.05,18.2
0.10659,80,0.413,5.936,10.5857,4,334,22,376.04,5.57,20.6
8.98296,0,0.77,6.212,2.1222,9,666,20.2,377.73,17.6,17.8
3.8497,0,0.77,6.395,2.5052,9,666,20.2,391.34,13.27,21.7
5.20177,0,0.77,6.127,2.7227,9,666,20.2,395.43,11.48,22.7
4.26131,0,0.77,6.112,2.5091,9,666,20.2,390.74,12.67,22.6
4.54192,0,0.77,6.398,2.5182,9,666,20.2,374.56,7.79,25
3.83684,0,0.77,6.251,2.2955,9,666,20.2,350.65,14.19,19.9
3.67822,0,0.77,5.362,2.1036,9,666,20.2,380.79,10.19,20.8
4.22239,0,0.77,5.803,1.9047,9,666,20.2,353.04,14.64,16.8
3.47428,0,0.718,8.78,1.9047,9,666,20.2,354.55,5.29,21.9
4.55587,0,0.718,3.561,1.6132,9,666,20.2,354.7,7.12,27.5
3.69695,0,0.718,4.963,1.7523,9,666,20.2,316.03,14,21.9
13.5222,0,0.631,3.863,1.5106,9,666,20.2,131.42,13.33,23.1
4.89822,0,0.631,4.97,1.3325,9,666,20.2,375.52,3.26,50
5.66998,0,0.631,6.683,1.3567,9,666,20.2,375.33,3.73,50
6.53876,0,0.631,7.016,1.2024,9,666,20.2,392.05,2.96,50
9.2323,0,0.631,6.216,1.1691,9,666,20.2,366.15,9.53,50
8.26725,0,0.668,5.875,1.1296,9,666,20.2,347.88,8.88,50
11.1081,0,0.668,4.906,1.1742,9,666,20.2,396.9,34.77,13.8
18.4982,0,0.668,4.138,1.137,9,666,20.2,396.9,37.97,13.8
19.6091,0,0.671,7.313,1.3163,9,666,20.2,396.9,13.44,15
15.288,0,0.671,6.649,1.3449,9,666,20.2,363.02,23.24,13.9
9.82349,0,0.671,6.794,1.358,9,666,20.2,396.9,21.24,13.3
23.6482,0,0.671,6.38,1.3861,9,666,20.2,396.9,23.69,13.1
17.8667,0,0.671,6.223,1.3861,9,666,20.2,393.74,21.78,10.2
88.9762,0,0.671,6.968,1.4165,9,666,20.2,396.9,17.21,10.4
15.8744,0,0.671,6.545,1.5192,9,666,20.2,396.9,21.08,10.9
9.18702,0,0.7,5.536,1.5804,9,666,20.2,396.9,23.6,11.3
7.99248,0,0.7,5.52,1.5331,9,666,20.2,396.9,24.56,12.3
20.0849,0,0.7,4.368,1.4395,9,666,20.2,285.83,30.63,8.8
16.8118,0,0.7,5.277,1.4261,9,666,20.2,396.9,30.81,7.2
24.3938,0,0.7,4.652,1.4672,9,666,20.2,396.9,28.28,10.5
22.5971,0,0.7,5,1.5184,9,666,20.2,396.9,31.99,7.4
14.3337,0,0.7,4.88,1.5895,9,666,20.2,372.92,30.62,10.2
8.15174,0,0.7,5.39,1.7281,9,666,20.2,396.9,20.85,11.5
6.96215,0,0.7,5.713,1.9265,9,666,20.2,394.43,17.11,15.1
5.29305,0,0.7,6.051,2.1678,9,666,20.2,378.38,18.76,23.2
11.5779,0,0.7,5.036,1.77,9,666,20.2,396.9,25.68,9.7
8.64476,0,0.693,6.193,1.7912,9,666,20.2,396.9,15.17,13.8
13.3598,0,0.693,5.887,1.7821,9,666,20.2,396.9,16.35,12.7
8.71675,0,0.693,6.471,1.7257,9,666,20.2,391.98,17.12,13.1
5.87205,0,0.693,6.405,1.6768,9,666,20.2,396.9,19.37,12.5
7.67202,0,0.693,5.747,1.6334,9,666,20.2,393.1,19.92,8.5
38.3518,0,0.693,5.453,1.4896,9,666,20.2,396.9,30.59,5
9.91655,0,0.693,5.852,1.5004,9,666,20.2,338.16,29.97,6.3
25.0461,0,0.693,5.987,1.5888,9,666,20.2,396.9,26.77,5.6
14.2362,0,0.693,6.343,1.5741,9,666,20.2,396.9,20.32,7.2
9.59571,0,0.693,6.404,1.639,9,666,20.2,376.11,20.31,12.1
24.8017,0,0.693,5.349,1.7028,9,666,20.2,396.9,19.77,8.3
41.5292,0,0.693,5.531,1.6074,9,666,20.2,329.46,27.38,8.5
67.9208,0,0.693,5.683,1.4254,9,666,20.2,384.97,22.98,5
20.7162,0,0.659,4.138,1.1781,9,666,20.2,370.22,23.34,11.9
11.9511,0,0.659,5.608,1.2852,9,666,20.2,332.09,12.13,27.9
7.40389,0,0.597,5.617,1.4547,9,666,20.2,314.64,26.4,17.2
14.4383,0,0.597,6.852,1.4655,9,666,20.2,179.36,19.78,27.5
51.1358,0,0.597,5.757,1.413,9,666,20.2,2.6,10.11,15
14.0507,0,0.597,6.657,1.5275,9,666,20.2,35.05,21.22,17.2
18.811,0,0.597,4.628,1.5539,9,666,20.2,28.79,34.37,17.9
28.6558,0,0.597,5.155,1.5894,9,666,20.2,210.97,20.08,16.3
45.7461,0,0.693,4.519,1.6582,9,666,20.2,88.27,36.98,7
18.0846,0,0.679,6.434,1.8347,9,666,20.2,27.25,29.05,7.2
10.8342,0,0.679,6.782,1.8195,9,666,20.2,21.57,25.79,7.5
25.9406,0,0.679,5.304,1.6475,9,666,20.2,127.36,26.64,10.4
73.5341,0,0.679,5.957,1.8026,9,666,20.2,16.45,20.62,8.8
11.8123,0,0.718,6.824,1.794,9,666,20.2,48.45,22.74,8.4
11.0874,0,0.718,6.411,1.8589,9,666,20.2,318.75,15.02,16.7
7.02259,0,0.718,6.006,1.8746,9,666,20.2,319.98,15.7,14.2
12.0482,0,0.614,5.648,1.9512,9,666,20.2,291.55,14.1,20.8
7.05042,0,0.614,6.103,2.0218,9,666,20.2,2.52,23.29,13.4
8.79212,0,0.584,5.565,2.0635,9,666,20.2,3.65,17.16,11.7
15.8603,0,0.679,5.896,1.9096,9,666,20.2,7.68,24.39,8.3
12.2472,0,0.584,5.837,1.9976,9,666,20.2,24.65,15.69,10.2
37.6619,0,0.679,6.202,1.8629,9,666,20.2,18.82,14.52,10.9
7.36711,0,0.679,6.193,1.9356,9,666,20.2,96.73,21.52,11
9.33889,0,0.679,6.38,1.9682,9,666,20.2,60.72,24.08,9.5
8.49213,0,0.584,6.348,2.0527,9,666,20.2,83.45,17.64,14.5
10.0623,0,0.584,6.833,2.0882,9,666,20.2,81.33,19.69,14.1
6.44405,0,0.584,6.425,2.2004,9,666,20.2,97.95,12.03,16.1
5.58107,0,0.713,6.436,2.3158,9,666,20.2,100.19,16.22,14.3
13.9134,0,0.713,6.208,2.2222,9,666,20.2,100.63,15.17,11.7
11.1604,0,0.74,6.629,2.1247,9,666,20.2,109.85,23.27,13.4
14.4208,0,0.74,6.461,2.0026,9,666,20.2,27.49,18.05,9.6
15.1772,0,0.74,6.152,1.9142,9,666,20.2,9.32,26.45,8.7
13.6781,0,0.74,5.935,1.8206,9,666,20.2,68.95,34.02,8.4
9.39063,0,0.74,5.627,1.8172,9,666,20.2,396.9,22.88,12.8
22.0511,0,0.74,5.818,1.8662,9,666,20.2,391.45,22.11,10.5
9.72418,0,0.74,6.406,2.0651,9,666,20.2,385.96,19.52,17.1
5.66637,0,0.74,6.219,2.0048,9,666,20.2,395.69,16.59,18.4
9.96654,0,0.74,6.485,1.9784,9,666,20.2,386.73,18.85,15.4
12.8023,0,0.74,5.854,1.8956,9,666,20.2,240.52,23.79,10.8
10.6718,0,0.74,6.459,1.9879,9,666,20.2,43.06,23.98,11.8
6.28807,0,0.74,6.341,2.072,9,666,20.2,318.01,17.79,14.9
9.92485,0,0.74,6.251,2.198,9,666,20.2,388.52,16.44,12.6
9.32909,0,0.713,6.185,2.2616,9,666,20.2,396.9,18.13,14.1
7.52601,0,0.713,6.417,2.185,9,666,20.2,304.21,19.31,13
6.71772,0,0.713,6.749,2.3236,9,666,20.2,0.32,17.44,13.4
5.44114,0,0.713,6.655,2.3552,9,666,20.2,355.29,17.73,15.2
5.09017,0,0.713,6.297,2.3682,9,666,20.2,385.09,17.27,16.1
8.24809,0,0.713,7.393,2.4527,9,666,20.2,375.87,16.74,17.8
9.51363,0,0.713,6.728,2.4961,9,666,20.2,6.68,18.71,14.9
4.75237,0,0.713,6.525,2.4358,9,666,20.2,50.92,18.13,14.1
4.66883,0,0.713,5.976,2.5806,9,666,20.2,10.48,19.01,12.7
8.20058,0,0.713,5.936,2.7792,9,666,20.2,3.5,16.94,13.5
7.75223,0,0.713,6.301,2.7831,9,666,20.2,272.21,16.23,14.9
6.80117,0,0.713,6.081,2.7175,9,666,20.2,396.9,14.7,20
4.81213,0,0.713,6.701,2.5975,9,666,20.2,255.23,16.42,16.4
3.69311,0,0.713,6.376,2.5671,9,666,20.2,391.43,14.65,17.7
6.65492,0,0.713,6.317,2.7344,9,666,20.2,396.9,13.99,19.5
5.82115,0,0.713,6.513,2.8016,9,666,20.2,393.82,10.29,20.2
7.83932,0,0.655,6.209,2.9634,9,666,20.2,396.9,13.22,21.4
3.1636,0,0.655,5.759,3.0665,9,666,20.2,334.4,14.13,19.9
3.77498,0,0.655,5.952,2.8715,9,666,20.2,22.01,17.15,19
4.42228,0,0.584,6.003,2.5403,9,666,20.2,331.29,21.32,19.1
15.5757,0,0.58,5.926,2.9084,9,666,20.2,368.74,18.13,19.1
13.0751,0,0.58,5.713,2.8237,9,666,20.2,396.9,14.76,20.1
4.34879,0,0.58,6.167,3.0334,9,666,20.2,396.9,16.29,19.9
4.03841,0,0.532,6.229,3.0993,9,666,20.2,395.33,12.87,19.6
3.56868,0,0.58,6.437,2.8965,9,666,20.2,393.37,14.36,23.2
4.64689,0,0.614,6.98,2.5329,9,666,20.2,374.68,11.66,29.8
8.05579,0,0.584,5.427,2.4298,9,666,20.2,352.58,18.14,13.8
6.39312,0,0.584,6.162,2.206,9,666,20.2,302.76,24.1,13.3
4.87141,0,0.614,6.484,2.3053,9,666,20.2,396.21,18.68,16.7
15.0234,0,0.614,5.304,2.1007,9,666,20.2,349.48,24.91,12
10.233,0,0.614,6.185,2.1705,9,666,20.2,379.7,18.03,14.6
14.3337,0,0.614,6.229,1.9512,9,666,20.2,383.32,13.11,21.4
5.82401,0,0.532,6.242,3.4242,9,666,20.2,396.9,10.74,23
5.70818,0,0.532,6.75,3.3317,9,666,20.2,393.07,7.74,23.7
5.73116,0,0.532,7.061,3.4106,9,666,20.2,395.28,7.01,25
2.81838,0,0.532,5.762,4.0983,9,666,20.2,392.92,10.42,21.8
2.37857,0,0.583,5.871,3.724,9,666,20.2,370.73,13.34,20.6
3.67367,0,0.583,6.312,3.9917,9,666,20.2,388.62,10.58,21.2
5.69175,0,0.583,6.114,3.5459,9,666,20.2,392.68,14.98,19.1
4.83567,0,0.583,5.905,3.1523,9,666,20.2,388.22,11.45,20.6
0.15086,0,0.609,5.454,1.8209,4,711,20.1,395.09,18.06,15.2
0.18337,0,0.609,5.414,1.7554,4,711,20.1,344.05,23.97,7
0.20746,0,0.609,5.093,1.8226,4,711,20.1,318.43,29.68,8.1
0.10574,0,0.609,5.983,1.8681,4,711,20.1,390.11,18.07,13.6
0.11132,0,0.609,5.983,2.1099,4,711,20.1,396.9,13.35,20.1
0.17331,0,0.585,5.707,2.3817,6,391,19.2,396.9,12.01,21.8
0.27957,0,0.585,5.926,2.3817,6,391,19.2,396.9,13.59,24.5
0.17899,0,0.585,5.67,2.7986,6,391,19.2,393.29,17.6,23.1
0.2896,0,0.585,5.39,2.7986,6,391,19.2,396.9,21.14,19.7
0.26838,0,0.585,5.794,2.8927,6,391,19.2,396.9,14.1,18.3
0.23912,0,0.585,6.019,2.4091,6,391,19.2,396.9,12.92,21.2
0.17783,0,0.585,5.569,2.3999,6,391,19.2,395.77,15.1,17.5
0.22438,0,0.585,6.027,2.4982,6,391,19.2,396.9,14.33,16.8
0.06263,0,0.573,6.593,2.4786,1,273,21,391.99,9.67,22.4
0.04527,0,0.573,6.12,2.2875,1,273,21,396.9,9.08,20.6
0.06076,0,0.573,6.976,2.1675,1,273,21,396.9,5.64,23.9
0.10959,0,0.573,6.794,2.3889,1,273,21,393.45,6.48,22
0.04741,0,0.573,6.03,2.505,1,273,21,396.9,7.88,11.9
